,id,osm_id,lons,lats,Straße
89,89,167317668,1013888.7939468906 1013851.6466328128 1013840.147329414 1013861.4093521555 1013855.2422523656 1013849.0640206265 1013845.1121787035 1013867.1868337276 1013888.7939468906 ,7206362.3156539695 7206344.526285444 7206368.518159838 7206378.716155575 7206391.577825771 7206388.628772315 7206396.867098615 7206407.445654969 7206362.3156539695 ,Berliner Straße
90,90,167317669,1013843.7429489668 1013857.0456281163 1013865.2387426387 1013851.9360634888 1013847.6391311444 1013843.7429489668 ,7206423.009096476 7206428.8691777885 7206410.223479677 7206404.382438443 7206414.1428778535 7206423.009096476 ,Rüsdorfer Straße
91,91,167317671,1013829.0933039781 1013849.5538263859 1013852.0028551833 1013854.5409395734 1013834.0915491149 1013829.0933039781 ,7206511.88112331 7206518.026667748 7206509.883346742 7206501.4165850105 7206495.271053553 7206511.88112331 ,Rüsdorfer Straße
92,92,167317672,1013737.0988767867 1013754.5203770957 1013755.0992384478 1013762.1457622153 1013747.7187562083 1013737.0988767867 ,7206551.208885392 7206564.032784535 7206563.214641973 7206554.3102122 7206543.179689155 7206551.208885392 ,Rüsdorfer Straße
93,93,167317673,1013534.53079939 1013536.0336125157 1013548.3232842993 1013552.475501306 1013538.6830163968 1013534.53079939 ,7206258.091455796 7206258.45294661 7206261.516106298 7206244.868513684 7206241.424844635 7206258.091455796 ,Berliner Straße
94,94,167317674,1013549.3362916656 1013532.6940277922 1013541.6663787499 1013553.577564265 1013558.3086426236 1013549.3362916656 ,7206692.139737851 7206704.450140153 7206716.589319255 7206707.779850425 7206704.259871041 7206692.139737851 ,Rüsdorfer Straße
95,95,167317675,1013407.370545057 1013417.7232577007 1013428.421060766 1013424.0684686758 1013418.0683481222 1013407.370545057 ,7206790.0336551275 7206806.111587003 7206799.185704628 7206792.431072467 7206783.107786911 7206790.0336551275 ,Rüsdorfer Straße
96,96,167317676,1013328.5786094734 1013326.8531573662 1013357.6775243669 1013360.2156087571 1013329.3912417563 1013328.5786094734 ,7206628.285780987 7206640.120414422 7206643.811605989 7206625.013184533 7206620.998547714 7206628.285780987 ,Rüsdorfer Straße
97,97,167317677,1013413.8159435738 1013417.3670353302 1013427.8644633121 1013431.5157426101 1013417.4560909228 1013413.8159435738 ,7206857.7704899805 7206858.28422663 7206859.806409497 7206834.671402654 7206832.616462422 7206857.7704899805 ,Stettiner Straße
98,98,167317678,1013681.6283745243 1013689.4430027781 1013695.5099150264 1013701.242868802 1013693.4282405485 1013681.6283745243 ,7206595.027131558 7206605.396661055 7206600.830261062 7206596.511210173 7206586.141692391 7206595.027131558 ,Rüsdorfer Straße
99,99,167317680,1013710.4489906908 1013716.671750226 1013725.8110804203 1013729.9632974268 1013714.5900757482 1013710.4489906908 ,7206308.319812618 7206309.803837127 7206311.991822497 7206294.678215795 7206290.987188089 7206308.319812618 ,Berliner Straße
100,100,167317682,1013440.7886561931 1013451.7536260361 1013462.5182207959 1013454.7147244914 1013451.5532509527 1013440.7886561931 ,7206769.370231187 7206786.799045588 7206779.987342788 7206767.600713981 7206762.558543483 7206769.370231187 ,Rüsdorfer Straße
101,101,167317683,1013325.0720455135 1013337.6622799223 1013337.6734118713 1013338.8311345755 1013326.0293931343 1013325.0720455135 ,7206837.772841243 7206838.495876181 7206834.1576675465 7206821.847062208 7206821.085974413 7206837.772841243 ,Rüsdorfer Straße
102,102,167317684,1013601.0664590372 1013609.159386018 1013620.4360504352 1013623.0409265197 1013614.9591314883 1013601.0664590372 ,7206654.067039067 7206664.170271003 7206655.132539375 7206653.03959248 7206642.955401605 7206654.067039067 ,Rüsdorfer Straße
103,103,167317685,1013375.9227889077 1013374.8541217963 1013379.3625611733 1013390.8284687252 1013391.8971358367 1013375.9227889077 ,7206825.785692733 7206836.15552649 7206836.612180034 7206837.791868477 7206827.422032563 7206825.785692733 ,Rüsdorfer Straße
104,104,167317688,1013430.3357560077 1013440.8999756838 1013447.7461243677 1013455.8056555012 1013446.8333045432 1013438.7849053588 1013437.1930366405 1013430.3357560077 ,7206728.5953283 7206744.1403783355 7206739.4787628 7206734.018016682 7206720.813301331 7206726.274038277 7206723.933721975 7206728.5953283 ,Rüsdorfer Straße
105,105,167317689,1013265.0151802306 1013270.9373771406 1013352.4009805033 1013355.7962249725 1013296.4852002779 1013268.4104246997 1013265.0151802306 ,7206733.314018332 7206734.056070654 7206744.444810469 7206717.788016644 7206710.215296545 7206706.638235316 7206733.314018332 ,Rüsdorfer Straße
106,106,167317690,1013301.2385425348 1013302.1736262573 1013298.2885760285 1013286.277202972 1013291.8320455627 1013291.7541219192 1013301.2385425348 ,7206864.487123657 7206840.037082458 7206824.434761269 7206827.136624429 7206851.415380114 7206864.563232852 7206864.487123657 ,Rüsdorfer Straße
107,107,167317698,1013583.1551529686 1013592.8622125657 1013597.6044228736 1013604.261328423 1013605.4747108727 1013595.7787832246 1013583.1551529686 ,7206666.377381779 7206679.372710372 7206675.852743697 7206670.82965885 7206669.954424697 7206656.959111665 7206666.377381779 ,Rüsdorfer Straße
108,108,167317699,1013328.1110676122 1013351.3434453406 1013353.1356891425 1013335.0796677358 1013334.8681607032 1013329.3801098072 1013328.1110676122 ,7206796.731203819 7206791.04209249 7206776.467331082 7206775.192516417 7206778.788635918 7206778.255877373 7206796.731203819 ,Rüsdorfer Straße
109,109,167317700,1013415.6861110193 1013422.8550862262 1013427.7086160248 1013430.4359435494 1013437.6049187564 1013427.6974840758 1013415.6861110193 ,7206741.952272742 7206751.503833814 7206747.85064574 7206751.484806789 7206746.100160387 7206732.914451725 7206741.952272742 ,Rüsdorfer Straße
110,110,167317701,1013392.6875042213 1013397.3295269873 1013407.2703575153 1013407.6377118349 1013410.2314559703 1013395.6374707273 1013392.6875042213 ,7206847.667009335 7206848.447126961 7206850.083471506 7206847.876309179 7206832.254945217 7206829.819461299 7206847.667009335 ,Stettiner Straße
111,111,167317704,1013418.0683481222 1013424.0684686758 1013433.9091116622 1013435.8905985983 1013444.6069147271 1013436.6253072375 1013418.0683481222 ,7206783.107786911 7206792.431072467 7206786.056988288 7206789.139380592 7206783.4883289635 7206771.101694648 7206783.107786911 ,Rüsdorfer Straße
112,112,167317706,1013558.3086426236 1013561.1584215879 1013568.639091369 1013570.3979393238 1013558.5758094015 1013549.3362916656 1013558.3086426236 ,7206704.259871041 7206708.103308066 7206702.56647611 7206701.272646523 7206685.309090165 7206692.139737851 7206704.259871041 ,Rüsdorfer Straße
113,113,167317709,1013787.9050923845 1013818.3843689638 1013833.4013682719 1013808.9667400429 1013803.6456683828 1013802.9109597438 1013787.9050923845 ,7206512.756339873 7206547.270392372 7206534.027937565 7206506.363455927 7206500.332079108 7206499.513943176 7206512.756339873 ,Rüsdorfer Straße
114,114,167317710,1013717.9073965738 1013724.0188366184 1013715.5362914199 1013701.3319243947 1013711.6623731403 1013719.7553001211 1013717.9073965738 ,7206583.630178215 7206578.816444949 7206568.047392272 7206579.2350303335 7206592.363401422 7206585.989479387 7206583.630178215 ,Rüsdorfer Straße
115,115,167317711,1013724.0188366184 1013726.1116430453 1013730.0523530194 1013734.7166396837 1013728.0931299815 1013724.1412880583 1013715.5362914199 1013724.0188366184 ,7206578.816444949 7206581.480170502 7206578.359806374 7206574.687672127 7206566.277920362 7206561.254905495 7206568.047392272 7206578.816444949 ,Rüsdorfer Straße
116,116,167317713,1013609.159386018 1013615.4823330949 1013620.6252935695 1013627.3489908136 1013631.3008327367 1013625.1114690485 1013620.4360504352 1013609.159386018 ,7206664.170271003 7206669.079190641 7206671.2292223 7206674.292542757 7206664.22735145 7206661.449437025 7206655.132539375 7206664.170271003 ,Rüsdorfer Straße
117,117,167317715,1013271.8056691689 1013275.746379143 1013273.4643295819 1013250.5993061729 1013251.9907998078 1013240.2020657327 1013234.8698621235 1013271.8056691689 ,7206934.469840711 7206916.051272963 7206915.556559958 7206910.647486475 7206904.140114713 7206901.609471602 7206926.554417879 7206934.469840711 ,Rüsdorfer Straße
118,118,167317722,1013402.1496609388 1013409.8974974981 1013412.713880615 1013419.2928625208 1013410.6878658825 1013404.9660440559 1013407.1367741262 1013398.5317774878 1013402.1496609388 ,7206762.634651691 7206757.230970617 7206761.264704027 7206756.698213531 7206744.330648416 7206748.326321173 7206751.44675274 7206757.440268059 7206762.634651691 ,Rüsdorfer Straße
119,119,167317723,1013628.384262078 1013638.6145232817 1013639.7054542917 1013645.082185697 1013652.3624803949 1013646.9857489894 1013648.1100758464 1013637.8909465917 1013628.384262078 ,7206632.852196922 7206645.695255964 7206644.820024603 7206651.574529988 7206645.77136304 7206639.016862646 7206638.122605282 7206625.279558611 7206632.852196922 ,Rüsdorfer Straße
120,120,167317724,1013751.626070335 1013747.2066865509 1013742.1416497196 1013753.6966128639 1013747.1398948563 1013782.2277983543 1013799.5825069689 1013801.697577294 1013807.330343528 1013771.7415023216 1013778.3650120236 1013760.0974835845 1013750.2568405983 1013759.7746570613 1013751.626070335 ,7206374.20696553 7206373.04637273 7206392.510107416 7206395.516240824 7206420.687896642 7206429.8204901 7206363.152801718 7206363.704558237 7206342.071926531 7206332.8062528735 7206307.368514998 7206302.612028639 7206340.416661646 7206342.890046082 7206374.20696553 ,Berliner Straße
121,121,167319767,1013499.0978054707 1013505.888294409 1013504.8307592464 1013516.1853473074 1013506.0775375435 1013503.6062448478 1013497.7174437849 1013483.4796809123 1013487.4649186828 1013486.0288972515 1013499.0978054707 ,7206679.5058983285 7206674.273515918 7206672.903583644 7206664.15124419 7206651.041780053 7206652.944458545 7206645.29569381 7206656.255120212 7206661.430410213 7206662.533965139 7206679.5058983285 ,Rüsdorfer Straße
122,122,167319773,1013567.6817437485 1013582.9770417833 1013573.7152601493 1013558.4199621143 1013567.6817437485 ,7206650.4519498125 7206638.997835892 7206626.630455866 7206638.06552503 7206650.4519498125 ,Rüsdorfer Straße
123,123,167319776,1013660.7671019498 1013681.4725272371 1013684.533813234 1013663.8395198955 1013660.7671019498 ,7206548.678355831 7206554.272159103 7206542.913317855 7206537.319522668 7206548.678355831 ,Rüsdorfer Straße
124,124,167319781,1013655.4460302896 1013663.7393323538 1013674.2478922848 1013665.9545902206 1013662.0918038902 1013655.4460302896 ,7206567.305355614 7206579.120870683 7206571.738550009 7206559.92304603 7206562.643844893 7206567.305355614 ,Rüsdorfer Straße
125,125,167319783,1013611.1631368522 1013625.5010872665 1013618.4211676519 1013614.9591314883 1013600.6211810741 1013611.1631368522 ,7206617.554713971 7206607.128088416 7206597.386436154 7206592.6297743935 7206603.037354063 7206617.554713971 ,Rüsdorfer Straße
126,126,167319784,1013547.9225341326 1013562.9617973388 1013563.3848114037 1013583.8230699133 1013585.6709734604 1013550.2045836939 1013547.9225341326 ,7206578.340779767 7206580.186360835 7206576.723518363 7206579.2350303335 7206564.280129975 7206559.9040194675 7206578.340779767 ,Rüsdorfer Straße
127,127,167319785,1013637.7239673556 1013648.7779927913 1013637.1562379524 1013635.553237285 1013629.4084013932 1013626.1022125167 1013637.7239673556 ,7206598.109448992 7206590.2704712255 7206573.869528459 7206575.011124301 7206579.368216598 7206581.708489877 7206598.109448992 ,Rüsdorfer Straße
128,128,167319787,1013611.1631368522 1013600.6211810741 1013588.4873565775 1013594.4206854369 1013597.1925407576 1013601.8011676766 1013611.1631368522 ,7206617.554713971 7206603.037354063 7206611.846705567 7206620.009158858 7206617.992328119 7206624.347249368 7206617.554713971 ,Rüsdorfer Straße
129,129,167319789,1013554.713023071 1013567.6817437485 1013558.4199621143 1013556.0154611132 1013547.1210337988 1013546.1636861782 1013542.1227886621 1013554.713023071 ,7206660.003399763 7206650.4519498125 7206638.06552503 7206634.583630327 7206641.052725534 7206639.73987931 7206642.670000168 7206660.003399763 ,Rüsdorfer Straße
130,130,167319790,1013536.6347377662 1013547.5440478638 1013537.9817036047 1013536.3007792939 1013533.8517504962 1013530.0891517075 1013527.072393507 1013536.6347377662 ,7206673.931032829 7206665.730469936 7206653.001538906 7206654.257306973 7206656.102905856 7206658.937898795 7206661.202088524 7206673.931032829 ,Rüsdorfer Straße
131,131,167319793,1013505.888294409 1013512.3559568243 1013516.7196808632 1013533.0057223663 1013528.6308663781 1013523.9554477647 1013521.4062314256 1013518.5675844104 1013516.1853473074 1013504.8307592464 1013505.888294409 ,7206674.273515918 7206682.664356309 7206688.353389236 7206675.814690012 7206670.144692983 7206664.05611012 7206666.015872216 7206662.324670227 7206664.15124419 7206672.903583644 7206674.273515918 ,Rüsdorfer Straße
132,132,331831162,1013622.9852667744 1013625.4342955719 1013628.1950189436 1013612.120484473 1013609.1927818652 1013604.0052935942 1013622.9852667744 ,7207026.354021919 7207013.12978806 7206998.288228342 7206995.510195919 7206994.958395077 7207022.929038356 7207026.354021919 ,Hans-Böckler-Straße
133,133,331831170,1013644.1582339233 1013634.3175909373 1013649.7910001576 1013654.6667938542 1013659.6316431436 1013644.1582339233 ,7206922.653791772 7206951.975131037 7206957.169643161 7206942.632628854 7206927.84828453 7206922.653791772 ,Hans-Böckler-Straße
134,134,331831198,1013794.3059631054 1013817.4270213431 1013821.2564118264 1013798.1242216395 1013794.3059631054 ,7206328.734687204 7206335.67918132 7206322.969810444 7206316.025327555 7206328.734687204 ,Berliner Straße
135,135,398472696,1013270.4253074831 1013270.3028560432 1013289.5166001542 1013295.661436046 1013282.7706390121 1013281.5238607151 1013284.0285492579 1013281.9691386784 1013279.6536932699 1013278.5182344639 1013272.0060442523 1013270.4253074831 ,7207011.303133044 7207011.89299035 7207015.489218085 7206982.457262184 7206980.040759338 7206986.7955526225 7206987.252214913 7206998.326283591 7206997.888648273 7207003.9774895925 7207002.75972095 7207011.303133044 ,Rüsdorfer Straße
136,136,398498093,1013572.0009399912 1013594.0421991681 1013595.7119915303 1013582.643083311 1013573.6707323531 1013572.0009399912 ,7206880.508125725 7206882.639187839 7206865.286270252 7206864.03046849 7206863.155212835 7206880.508125725 ,Stettiner Straße
137,137,398498125,1013551.640605125 1013543.1803238248 1013529.5993459481 1013527.9295535861 1013549.9708127632 1013551.640605125 ,7206861.043183291 7206860.225009838 7206858.912127027 7206876.246003224 7206878.377064183 7206861.043183291 ,Stettiner Straße
138,138,398519144,1013490.5039407815 1013501.7360774024 1013502.3149387544 1013493.4761711855 1013493.1756085604 1013487.4871825809 1013486.674550298 1013490.5039407815 ,7206883.286117526 7206883.837910532 7206868.520912073 7206867.512464777 7206869.9860149855 7206869.301031773 7206882.962652675 7206883.286117526 ,Im Redder
139,139,398519145,1013534.8424939644 1013523.5992253942 1013522.9535723475 1013534.1968409178 1013534.8424939644 ,7206937.93284071 7206937.381043903 7206950.243627756 7206950.814452972 7206937.93284071 ,Im Redder
140,140,398519147,1013494.9121926168 1013483.6800559957 1013483.034402949 1013494.2665395703 1013494.9121926168 ,7206975.017480198 7206974.465680794 7206987.347352897 7206987.8991532065 7206975.017480198 ,Im Redder
141,141,398519150,1013536.901904544 1013525.6586359738 1013525.0129829274 1013536.2562514973 1013536.901904544 ,7206980.440338494 7206979.869511131 7206992.751192085 7206993.302992771 7206980.440338494 ,Im Redder
142,142,398519153,1013491.5726078929 1013480.3293393228 1013479.6836862763 1013490.9269548464 1013491.5726078929 ,7207011.854935038 7207011.303133044 7207024.165837802 7207024.736668385 7207011.854935038 ,Im Redder
143,143,398519154,1013533.9185421908 1013522.8088570095 1013521.9739608286 1013533.0947779589 1013533.9185421908 ,7207016.535739696 7207015.869771378 7207029.531646892 7207030.197616361 7207016.535739696 ,Im Redder
144,144,398519158,1013491.4835523003 1013480.2402837303 1013479.5946306838 1013490.8378992537 1013491.4835523003 ,7207053.563666567 7207052.992833891 7207065.874634618 7207066.445468228 7207053.563666567 ,Im Redder
145,145,398519160,1013528.1410606187 1013516.9089239975 1013516.263270951 1013527.4954075719 1013528.1410606187 ,7207056.170469632 7207055.599636769 7207068.481441766 7207069.033247766 7207056.170469632 ,Im Redder
146,146,398519167,1013501.1015563048 1013489.8582877348 1013489.212634688 1013500.4559032584 1013501.1015563048 ,7206896.719434197 7206896.167640282 7206909.030156732 7206909.600978957 7206896.719434197 ,Im Redder
147,147,398519168,1013538.449245466 1013527.2059768959 1013526.5603238492 1013537.8035924195 1013538.449245466 ,7206899.288130507 7206898.736336412 7206911.617884479 7206912.169679472 7206899.288130507 ,Im Redder
148,148,398519172,1013499.2981805541 1013488.054911984 1013487.4092589373 1013498.6525275073 1013499.2981805541 ,7206934.850390089 7206934.279566029 7206947.1611723155 7206947.712969804 7206934.850390089 ,Im Redder
149,149,398521169,1013659.3088166204 1013647.2195199203 1013642.4884415615 1013654.5443424145 1013659.3088166204 ,7206755.746861679 7206748.4024292445 7206756.184483516 7206763.528923214 7206755.746861679 ,Neue Heimat
150,150,398521170,1013696.2668875636 1013691.7918440336 1013704.582453526 1013705.7958359756 1013710.9499283992 1013714.2115894796 1013709.0463651068 1013696.2668875636 ,7206740.487193681 7206748.1550780125 7206755.670753537 7206753.596806913 7206756.62210538 7206751.047185212 7206748.002861872 7206740.487193681 ,Neue Heimat
151,151,398521171,1013664.0176310808 1013651.9172024316 1013647.2195199203 1013659.3088166204 1013664.0176310808 ,7206747.926753806 7206740.601355674 7206748.4024292445 7206755.746861679 7206747.926753806 ,Neue Heimat
152,152,398521172,1013700.7307991445 1013696.2668875636 1013709.0463651068 1013713.5102766877 1013700.7307991445 ,7206732.857370786 7206740.487193681 7206748.002861872 7206740.354004691 7206732.857370786 ,Neue Heimat
153,153,398521173,1013667.6355145315 1013663.5834850667 1013662.9489639694 1013671.0975506952 1013675.3165593963 1013680.0031099588 1013667.6355145315 ,7206714.534409877 7206721.441190754 7206722.525727141 7206727.339548368 7206729.813054491 7206721.802702866 7206714.534409877 ,Neue Heimat
154,154,398521174,1013745.5146302907 1013736.4977515363 1013733.8260837572 1013742.8429625115 1013745.5146302907 ,7206725.817391139 7206724.123991573 7206738.451305053 7206740.144707704 7206725.817391139 ,Neue Heimat
155,155,398521175,1013672.3220650939 1013667.6355145315 1013680.0031099588 1013684.7007924704 1013672.3220650939 ,7206706.524073811 7206714.534409877 7206721.802702866 7206713.811386336 7206706.524073811 ,Neue Heimat
156,156,398521176,1013754.531509045 1013745.5146302907 1013742.8429625115 1013751.8487093167 1013754.531509045 ,7206727.491764103 7206725.817391139 7206740.144707704 7206741.819083724 7206727.491764103 ,Neue Heimat
157,157,398521177,1013615.8608193639 1013611.5082272737 1013629.5865125785 1013633.9391046683 1013615.8608193639 ,7206787.655265632 7206795.075843241 7206805.731043856 7206798.291429051 7206787.655265632 ,Neue Heimat
158,158,398521178,1013677.0197476054 1013672.3220650939 1013684.7007924704 1013689.3873430329 1013677.0197476054 ,7206698.51374591 7206706.524073811 7206713.811386336 7206705.801051007 7206698.51374591 ,Neue Heimat
159,159,398521179,1013763.5483877992 1013754.531509045 1013751.8487093167 1013760.8655880709 1013763.5483877992 ,7206729.185164401 7206727.491764103 7206741.819083724 7206743.512487105 7206729.185164401 ,Neue Heimat
160,160,398521180,1013718.2413550462 1013715.692138707 1013724.7535452577 1013727.3027615969 1013718.2413550462 ,7206681.75106712 7206695.431389127 7206697.105755626 7206683.425430708 7206681.75106712 ,Neue Heimat
161,161,398521181,1013727.3027615969 1013724.7535452577 1013733.8149518082 1013736.3641681472 1013727.3027615969 ,7206683.425430708 7206697.105755626 7206698.799149375 7206685.118821513 7206683.425430708 ,Neue Heimat
162,162,398521182,1013666.2885486931 1013678.0772827681 1013682.7304374832 1013670.9417034083 1013666.2885486931 ,7206791.34652644 7206798.329483327 7206790.509333113 7206783.507356065 7206791.34652644 ,Neue Heimat
163,163,398521183,1013736.3641681472 1013733.8149518082 1013742.8763583588 1013745.425574698 1013736.3641681472 ,7206685.118821513 7206698.799149375 7206700.473516587 7206686.793185817 7206685.118821513 ,Neue Heimat
164,164,398521184,1013763.3702766139 1013754.3533978595 1013751.9711607565 1013760.9880395109 1013763.3702766139 ,7206690.218022997 7206688.619765461 7206702.071776539 7206703.6700368095 7206690.218022997 ,Neue Heimat
165,165,398521185,1013772.376023419 1013763.3702766139 1013760.9880395109 1013769.993786316 1013772.376023419 ,7206691.8162808595 7206690.218022997 7206703.6700368095 7206705.268297404 7206691.8162808595 ,Neue Heimat
166,166,398521186,1013781.3929021732 1013772.376023419 1013769.993786316 1013779.0106650704 1013781.3929021732 ,7206693.395512161 7206691.8162808595 7206705.268297404 7206706.847531408 7206693.395512161 ,Neue Heimat
167,167,398521187,1013670.9417034083 1013682.7304374832 1013687.3724602493 1013675.5837261742 1013670.9417034083 ,7206783.507356065 7206790.509333113 7206782.670163578 7206775.68722059 7206783.507356065 ,Neue Heimat
168,168,398521188,1013637.9466063372 1013642.8001361358 1013632.6366666261 1013630.3991448614 1013625.556747012 1013637.9466063372 ,7206791.46068917 7206783.202922424 7206777.20938747 7206775.896518519 7206784.154277598 7206791.46068917 ,Neue Heimat
169,169,398521189,1013675.5837261742 1013687.3724602493 1013692.0144830154 1013680.2257489404 1013675.5837261742 ,7206775.68722059 7206782.670163578 7206774.831001853 7206767.84806583 7206775.68722059 ,Neue Heimat
170,170,398521190,1013654.5443424145 1013642.4884415615 1013641.5644897879 1013637.7462312536 1013639.326968023 1013649.8021321066 1013654.5443424145 ,7206763.528923214 7206756.184483516 7206757.687619578 7206763.966545486 7206764.936925394 7206771.310992455 7206763.528923214 ,Neue Heimat
171,171,398521191,1013691.7918440336 1013687.3501963512 1013692.3261775896 1013700.1408058432 1013704.582453526 1013691.7918440336 ,7206748.1550780125 7206755.746861679 7206758.677025755 7206763.262544453 7206755.670753537 7206748.1550780125 ,Neue Heimat
172,172,437558654,1013271.3492592566 1013287.8356758431 1013291.7986497154 1013275.3011011798 1013274.2435660171 1013271.3492592566 ,7206678.383314172 7206681.389556851 7206659.565783277 7206656.578575741 7206662.419804281 7206678.383314172 ,Rüsdorfer Straße
